ID,Sex,Team,Age,Height,Weight,Medal
1017,M,United States,27.0,198.0,100.0,Bronze
1017,M,United States,27.0,198.0,100.0,Bronze
1017,M,United States,27.0,198.0,100.0,Gold
1017,M,United States,27.0,198.0,100.0,Gold
1020,F,Brazil,25.0,180.0,61.0,Silver
1020,F,Brazil,29.0,180.0,61.0,Bronze
1023,F,Brazil,21.0,170.0,65.0,Bronze
1025,M,Hungary,30.0,189.0,87.0,Silver
1046,M,Germany,24.0,189.0,82.0,Silver
1071,F,Russia,20.0,158.0,48.0,Silver
1085,M,Russia,22.0,183.0,88.0,Bronze
1088,F,Nigeria,20.0,180.0,62.0,Silver
1094,F,Romania,22.0,178.0,70.0,Bronze
1095,M,South Africa,28.0,175.0,75.0,Bronze
1104,M,Pakistan,25.0,173.0,76.0,Silver
1107,M,South Africa,27.0,193.0,104.0,Bronze
1109,F,Romania,16.0,148.0,40.0,Gold
1109,F,Romania,16.0,148.0,40.0,Bronze
1114,M,Italy,24.0,187.0,93.0,Bronze
1114,M,Italy,27.0,187.0,93.0,Silver
1122,M,United States,26.0,180.0,80.0,Gold
1131,F,France,23.0,164.0,66.0,Silver
1147,M,Soviet Union,20.0,184.0,80.0,Bronze
1147,M,Soviet Union,24.0,184.0,80.0,Silver
1147,M,Soviet Union,28.0,184.0,80.0,Bronze
1169,F,Netherlands,29.0,172.0,58.0,Gold
1169,F,Netherlands,33.0,172.0,58.0,Gold
1173,M,France,20.0,202.0,90.0,Gold
1173,M,France,20.0,202.0,90.0,Gold
1173,M,France,20.0,202.0,90.0,Silver
1181,F,Canada,18.0,168.0,67.0,Gold
1181,F,Canada,23.0,168.0,67.0,Gold
1181,F,Canada,26.0,168.0,67.0,Gold
1191,F,Hungary,27.0,164.0,62.0,Gold
1192,M,Italy,19.0,170.0,,Gold
1192,M,Italy,23.0,170.0,,Bronze
1192,M,Italy,23.0,170.0,,Silver
1192,M,Italy,39.0,170.0,,Silver
1201,M,Sweden,20.0,,,Bronze
1211,F,Netherlands,19.0,,,Gold
1220,M,Argentina,20.0,172.0,74.0,Gold
1221,F,Cuba,23.0,175.0,70.0,Gold
1249,M,Cuba,20.0,173.0,64.0,Bronze
1254,F,Spain,27.0,170.0,67.0,Bronze
1262,F,Spain,23.0,167.0,50.0,Silver
1270,M,Cuba,26.0,172.0,64.0,Bronze
1301,F,Indonesia,21.0,147.0,47.0,Silver
1313,F,United States,32.0,172.0,67.0,Silver
1322,M,United States,23.0,175.0,73.0,Silver
1323,M,Great Britain,22.0,170.0,57.0,Gold
1333,M,Finland,21.0,168.0,69.5,Bronze
1336,M,Sweden,32.0,179.0,78.0,Bronze
1340,F,Sweden,27.0,177.0,75.0,Bronze
1341,M,Sweden,44.0,,,Silver
1342,M,Sweden,24.0,182.0,90.0,Bronze
1346,M,Finland,26.0,,,Silver
1348,M,Sweden,24.0,,,Silver
1350,M,United States,19.0,,,Gold
1356,M,Germany,29.0,189.0,80.0,Bronze
1356,M,Germany,41.0,189.0,80.0,Bronze
