ID,Sex,Team,NOC,Year,Season,Sport,Medal
98916,M,"Bagatelle Polo Club, Paris",FRA,1900,Summer,Polo,Bronze
8683,M,Nina Claire-2,FRA,1900,Summer,Sailing,Bronze
96920,F,France/Great Britain,FRA,1900,Summer,Tennis,Silver
96920,F,France,FRA,1900,Summer,Tennis,Silver
96913,M,France-1,FRA,1900,Summer,Tennis,Bronze
93826,M,Aschenbrodel,GER,1900,Summer,Sailing,Silver
93826,M,Aschenbrodel,GER,1900,Summer,Sailing,Gold
93957,M,France,FRA,1900,Summer,Archery,Bronze
93957,M,France,FRA,1900,Summer,Archery,Bronze
94393,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Rugby,Gold
96234,M,Frankfurt Club,GER,1900,Summer,Rugby,Silver
9009,M,Devon and Somerset Wanderers,GBR,1900,Summer,Cricket,Gold
8913,M,Moseley Wanderers,GBR,1900,Summer,Rugby,Silver
8862,M,United States,USA,1900,Summer,Athletics,Silver
8862,M,United States,USA,1900,Summer,Athletics,Silver
8862,M,United States,USA,1900,Summer,Athletics,Gold
8862,M,United States,USA,1900,Summer,Athletics,Silver
8862,M,United States,USA,1900,Summer,Athletics,Gold
96654,M,Devon and Somerset Wanderers,GBR,1900,Summer,Cricket,Gold
96774,F,United States,USA,1900,Summer,Golf,Bronze
8513,M,France,FRA,1900,Summer,Cycling,Gold
8484,M,Racing Club de France,FRA,1900,Summer,Tug-Of-War,Silver
99245,M,Foxhunters Hurlingham,GBR,1900,Summer,Polo,Gold
8399,M,France,FRA,1900,Summer,Gymnastics,Silver
102484,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Cricket,Silver
102589,F,Bohemia,BOH,1900,Summer,Tennis,Bronze
102589,F,Bohemia/Great Britain,BOH,1900,Summer,Tennis,Bronze
103047,M,Australia,AUS,1900,Summer,Athletics,Bronze
103047,M,Australia,AUS,1900,Summer,Athletics,Bronze
103047,M,Australia,AUS,1900,Summer,Athletics,Bronze
103047,M,Amateur Athletic Association,AUS,1900,Summer,Athletics,Gold
103182,M,Austria,AUT,1900,Summer,Swimming,Bronze
103182,M,Austria,AUT,1900,Summer,Swimming,Silver
103655,M,Favorite Hammonia-3,GER,1900,Summer,Rowing,Bronze
103689,M,Great Britain,GBR,1900,Summer,Golf,Silver
104113,M,Fantlet-7,FRA,1900,Summer,Sailing,Gold
105386,M,France,FRA,1900,Summer,Gymnastics,Gold
105390,M,United States,USA,1900,Summer,Golf,Gold
105565,M,Italy,ITA,1900,Summer,Fencing,Silver
102452,M,Union des Socits Franais de Sports Athletiques,USA,1900,Summer,Rugby,Gold
105848,M,Racing Club de France,FRA,1900,Summer,Tug-Of-War,Silver
102274,M,Brussels Swimming and Water Polo Club,BEL,1900,Summer,Water Polo,Silver
101618,M,Switzerland,SUI,1900,Summer,Shooting,Gold
99656,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Rugby,Gold
99862,M,Frankfurt Club,GER,1900,Summer,Rugby,Silver
99984,M,Univ. of Brussels,BEL,1900,Summer,Football,Bronze
100476,M,Switzerland,SUI,1900,Summer,Shooting,Gold
100476,M,Switzerland,SUI,1900,Summer,Shooting,Gold
100882,M,Great Britain,GBR,1900,Summer,Athletics,Gold
100882,M,Amateur Athletic Association,GBR,1900,Summer,Athletics,Gold
101000,M,Union des Socits Franais de Sports Athletiques,FRA,1900,Summer,Rugby,Gold
101344,M,Great Britain,GBR,1900,Summer,Golf,Bronze
8065,M,France,FRA,1900,Summer,Rowing,Gold
101432,M,Union des Socits Franais de Sports Athletiques,GBR,1900,Summer,Cricket,Silver
101468,M,Great Britain,GBR,1900,Summer,Athletics,Silver
101468,M,Great Britain,GBR,1900,Summer,Athletics,Bronze
101468,M,Amateur Athletic Association,GBR,1900,Summer,Athletics,Gold
101618,M,Switzerland,SUI,1900,Summer,Shooting,Gold
101921,M,Racing Club de France,FRA,1900,Summer,Tug-Of-War,Silver
75384,M,Vesper Boat Club,USA,1900,Summer,Rowing,Gold
68356,M,Ludwigshafener Ruder Verein-1,GER,1900,Summer,Rowing,Bronze
74870,M,Crabe II-1,FRA,1900,Summer,Sailing,Silver
35448,M,Pupilles de Neptune de Lille #2-1,FRA,1900,Summer,Water Polo,Bronze
35601,M,France,FRA,1900,Summer,Archery,Bronze
35717,M,United States,USA,1900,Summer,Athletics,Gold
35801,M,Austria,AUT,1900,Summer,Fencing,Bronze
36144,M,Cuba,CUB,1900,Summer,Fencing,Gold
36144,M,Cuba,CUB,1900,Summer,Fencing,Silver
21277,M,Devon and Somerset Wanderers,GBR,1900,Summer,Cricket,Gold
36505,M,Belgium,BEL,1900,Summer,Archery,Gold
36903,M,USFSA,FRA,1900,Summer,Football,Silver
36914,M,"BLO Polo Club, Rugby",GBR,1900,Summer,Polo,Silver
37375,M,Norway,NOR,1900,Summer,Shooting,Silver
37926,M,USFSA,FRA,1900,Summer,Football,Silver
38736,M,France,FRA,1900,Summer,Equestrianism,Gold
38830,M,USFSA,FRA,1900,Summer,Football,Silver
36535,M,"Bagatelle Polo Club, Paris",FRA,1900,Summer,Polo,Bronze
38860,M,United States,USA,1900,Summer,Athletics,Bronze
35156,M,Ludwigshafener Ruder Verein-1,GER,1900,Summer,Rowing,Bronze
34574,M,Ludwigshafener Ruder Verein-1,GER,1900,Summer,Rowing,Bronze
30927,M,Martha-1,FRA,1900,Summer,Sailing,Silver
30927,M,Martha-1,FRA,1900,Summer,Sailing,Bronze
22028,M,Libellule de Paris,FRA,1900,Summer,Water Polo,Bronze
21899,M,France,FRA,1900,Summer,Shooting,Bronze
33106,M,A North American Team,MEX,1900,Summer,Polo,Bronze
33107,M,A North American Team,MEX,1900,Summer,Polo,Bronze
35117,M,Brussels Swimming and Water Polo Club,BEL,1900,Summer,Water Polo,Silver
33109,M,A North American Team,MEX,1900,Summer,Polo,Bronze
33557,M,United States,USA,1900,Summer,Athletics,Gold
33557,M,United States,USA,1900,Summer,Athletics,Gold
33563,M,Vesper Boat Club,USA,1900,Summer,Rowing,Gold
33564,M,Olle,GBR,1900,Summer,Sailing,Gold
34033,M,Pupilles de Neptune de Lille #2-1,FRA,1900,Summer,Water Polo,Bronze
34204,M,Sweden,SWE,1900,Summer,Athletics,Bronze
33557,M,United States,USA,1900,Summer,Athletics,Gold
38860,M,United States,USA,1900,Summer,Athletics,Bronze
39072,M,France,FRA,1900,Summer,Rowing,Silver
